"Suchbegriff";"Typ";"Etappe";"Name";"Adresse";"Ort";"Bewertung";"Reviews";"Kategorie";"Preis";"Dauer";"Kinderwagen";"Mindestalter";"Info";"Beste Zeit";"Reservierung";"Website";"Lat";"Lng";"Hinweis"
"Rolandale Farm Stall & Restaurant, N2 Buffeljagsrivier, Buffeljagsrivier / Swellendam, Südafrika";"Restaurant";"4 | Melozhori & Route 62 (14.-16. Okt)";"Rolandale Farm Stall & Restaurant";"N2 Buffeljagsrivier";"Buffeljagsrivier / Swellendam";"4.4";"1355";"Padstal / Roosterkoek / Frühstück";"€";"";"";"";"Outdoor-Spielbereich, weitläufiger Rasen und Garten";"";"Nein";"https://rolandale.co.za/";"-34.036809";"20.523151";"Ca. 40 Min. ab Melozhori; täglich 8-17:30"
"Country Deli at Sipiershuis, 22 Swellengrebel Street, Swellendam 6740, Südafrika";"Restaurant";"4 | Melozhori & Route 62 (14.-16. Okt)";"Country Deli at Sipiershuis";"22 Swellengrebel Street";"Swellendam 6740";"4.5";"224";"Bäckerei / Deli / Pizza";"€–€€";"";"";"";"Eigenes Kinderspielzimmer, Innen- und Aussensitzplätze";"";"Wochenende sinnvoll";"http://country-deli.co.za/";"-34.018289";"20.452416";"Im historischen Gefängniswärterhaus"
"Grace + Merci, 8A Voortrek Street, Church Square, Swellendam 6740, Südafrika";"Restaurant";"4 | Melozhori & Route 62 (14.-16. Okt)";"Grace + Merci";"8A Voortrek Street, Church Square";"Swellendam 6740";"4.5";"700";"Farm-to-Table / Frühstück / Lunch";"€€";"";"";"";"Grosse schattige Terrasse, kinderwagentauglich, Spielzeug vorhanden";"";"Mittags oft voll";"https://graceandmerci.com/";"-34.018142";"20.447285";"Auch in eurem PDF empfohlen"
"Woodpecker Pizzadeli, 270 Voortrek Street, Swellendam 6740, Südafrika";"Restaurant";"4 | Melozhori & Route 62 (14.-16. Okt)";"Woodpecker Pizzadeli";"270 Voortrek Street";"Swellendam 6740";"4.5";"718";"Holzofenpizza / Pasta";"€–€€";"";"";"";"Schattiger Aussenbereich unter grossen Bäumen";"";"Abends besser";"https://swellendam.com/restaurants/woodpecker-pizzadeli/";"-34.036740";"20.426703";"Beste Pizza Swellendams"
"Christina's Bistro @ Van Loveren, R317 Klaasvoogds, Farm Van Loveren, zwischen Robertson und Bonnievale, Südafrika";"Restaurant";"4 | Melozhori & Route 62 (14.-16. Okt)";"Christina's Bistro @ Van Loveren";"R317 Klaasvoogds, Farm Van Loveren";"zwischen Robertson und Bonnievale";"4.4";"230";"Bistro / Holzofenpizza";"€€";"";"";"";"Riesiger Garten mit Riesenschach, alkoholfreie Kinder-'Verkostung'";"";"Wochenende ja";"https://www.vanloveren.co.za/";"-33.875278";"20.002616";"Einer der schönsten Gärten im Robertson Valley (auch in eurem PDF)"
"Four Cousins Restaurant, 3 Kromhout Road, Route 62, Robertson 6705, Südafrika";"Restaurant";"4 | Melozhori & Route 62 (14.-16. Okt)";"Four Cousins Restaurant";"3 Kromhout Road, Route 62";"Robertson 6705";"4.6";"3328";"International / Pizza / Grill / Brauerei";"€€";"";"";"";"Sehr grosser Spielplatz und eigenes Kindermenü";"";"Wochenende dringend";"https://www.fourcousinsrestaurant.co.za/";"";"";"Gilt als kinderfreundlichstes Restaurant der Region (auch in eurem PDF)"
"Platform 62 (The Shed), 30 Main Road / R60, Ashton 6715, Südafrika";"Restaurant";"4 | Melozhori & Route 62 (14.-16. Okt)";"Platform 62 (The Shed)";"30 Main Road / R60";"Ashton 6715";"4.4";"106";"Cafe / Bistro / Weinboutique";"€€";"";"";"";"Kinderspielbereich im Garten plus Hoftiere";"";"Nein";"https://www.robertsonr62.com/product-page/platform-62";"-33.832613";"20.064760";"Modernes Padstal mit 600+ Weinen"
"Die Kloof Padstal, 1 Long Street am R62, Montagu 6720, Südafrika";"Restaurant";"4 | Melozhori & Route 62 (14.-16. Okt)";"Die Kloof Padstal";"1 Long Street am R62";"Montagu 6720";"4.1";"183";"Padstal / Landküche";"€";"";"";"";"Spielplatz mit Sandkasten, Schaukeln, Baumhaus, Klettergerüst, Kindermenü";"";"Nein";"https://diekloofpadstal.co.za/";"-33.790519";"20.112541";"Knapp unter 4.2, aber der beste Spielplatz der Route (auch in eurem PDF)"
"Diesel & Creme, Tennant Street, Smitsville, Barrydale 6750, Südafrika";"Restaurant";"4 | Melozhori & Route 62 (14.-16. Okt)";"Diesel & Creme";"Tennant Street, Smitsville";"Barrydale 6750";"4.3";"758";"American Diner / Burger / Milchshakes";"€€";"";"";"";"Bunter Retro-Diner, Riesen-Milchshakes, 'Family Style'-Konzept";"";"Nur Gruppen";"http://dieselandcreme.co.za/";"-33.905903";"20.715603";"Berühmteste Milchshakes Südafrikas (auch in eurem PDF)"
"Joubert-Tradauw Winery, R62, Tradouw Valley, Barrydale, Südafrika";"Restaurant";"4 | Melozhori & Route 62 (14.-16. Okt)";"Joubert-Tradauw Winery";"R62, Tradouw Valley";"Barrydale";"";"";"Weingut / Pizza / Landküche";"€€";"";"";"";"Viel Platz für Kinder zum Herumtollen";"";"Empfohlen";"https://www.joubert-tradauw.com/";"-33.923917";"20.594521";"Tipp aus eurem PDF"
"Ou Meul Bakery Robertson, R60 / Voortrekker Road, Robertson 6705, Südafrika";"Restaurant";"4 | Melozhori & Route 62 (14.-16. Okt)";"Ou Meul Bakery Robertson";"R60 / Voortrekker Road";"Robertson 6705";"";"";"Bäckerei / Farmstall";"€";"";"";"";"Schöner Spielplatz";"";"Nein";"https://oumeul.co.za/ou-meul-stores/ou-meul-robertson/";"-33.803708";"19.868476";"Tipp aus eurem PDF"
"Montagu Guano Cave Resort, R62 Richtung Ashton, Montagu, Südafrika";"Restaurant";"4 | Melozhori & Route 62 (14.-16. Okt)";"Montagu Guano Cave Resort";"R62 Richtung Ashton";"Montagu";"";"";"Resort mit Restaurant";"€€";"";"";"";"Pools, Tiere, Spielbereich, Traktorfahrten";"";"Empfohlen";"https://montaguguanocave.co.za/";"-33.823967";"20.176067";"Tipp aus eurem PDF"
"Die Skeerhok Padstal, N2, ca. 8 km vor Heidelberg, Heidelberg WC 6665, Südafrika";"Restaurant";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"Die Skeerhok Padstal";"N2, ca. 8 km vor Heidelberg";"Heidelberg WC 6665";"4.7";"664";"Padstal / Landküche / Bäckerei";"€€";"";"";"";"Rustikales Scheunen-Restaurant mit Aussenbereich, viel Platz";"";"Nein";"http://dieskeerhok.co.za/";"-34.111416";"20.895401";"Fr 8-17 (auch in eurem PDF)"
"Ou Meul Riversdale Farmstall, N2 (National Road), Riversdale 6670, Südafrika";"Restaurant";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"Ou Meul Riversdale Farmstall";"N2 (National Road)";"Riversdale 6670";"4.6";"125";"Bäckerei / Farmstall / Cafe";"€–€€";"";"";"";"Ausdrücklich family friendly: Kindermenü, GROSSER Spielplatz, Wickelraum";"";"Nein";"https://oumeul.co.za/ou-meul-stores/ou_meul-riversdal/";"-34.110179";"21.255278";"Der N2-Farmstall, nicht die Filiale im Ort"
"Oppiplaas Padstal, N2 östlich von Riversdale Richtung Albertinia, Riversdale 6670, Südafrika";"Restaurant";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"Oppiplaas Padstal";"N2 östlich von Riversdale Richtung Albertinia";"Riversdale 6670";"4.4";"204";"Padstal / Cafe";"€";"";"";"";"Klassischer Roadside-Padstal mit Hofcharakter";"";"Nein";"";"-34.170358";"21.336520";"ACHTUNG: keine Öffnungszeiten/Telefon bei Google hinterlegt - vorab prüfen"
"Kaai 4 Braai Restaurant, Mossel Bay Harbour, Mossel Bay 6500, Südafrika";"Restaurant";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"Kaai 4 Braai Restaurant";"Mossel Bay Harbour";"Mossel Bay 6500";"4.4";"2899";"Holzkohle-Braai / Fisch & Fleisch";"€€";"";"";"";"Offene Feuerstellen im Hafen zum Zuschauen, Boote und Meer daneben";"";"Empfohlen";"http://www.kaai4.co.za/";"-34.178769";"22.142071";"Ca. 8-10 km Umweg von der N2"
"Redberry Farm, Geelhoutboom Road (ab R404), Blanco, George 6530, Südafrika";"Restaurant";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"Redberry Farm";"Geelhoutboom Road (ab R404), Blanco";"George 6530";"4.6";"9030";"Erdbeerfarm / Restaurant / Pizzeria";"€€";"";"";"";"Erdbeerpflücken, Minieisenbahn, Heckenlabyrinth, Gokarts, Ponyreiten";"";"Nein (unter 10 Pers.)";"https://www.redberryfarm.co.za/";"-33.958462";"22.382283";"Stärkster Kinderstopp der Strecke; Mo-Sa 9-16, SO ZU (auch in eurem PDF)"
"Garden Route Botanical Garden, 49 Caledon Street, Campher's Drift, George 6529, Südafrika";"Restaurant";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"Garden Route Botanical Garden";"49 Caledon Street, Campher's Drift";"George 6529";"4.5";"988";"Botanischer Garten mit Cafe";"€";"";"";"";"Sichere autofreie Fläche zum Rennen, Teich mit Wasservögeln";"";"Nein";"http://www.botanicalgarden.org.za/";"-33.947892";"22.463687";"Günstige 'Beine vertreten'-Pause; täglich 7:30-17:30"
"Hoekwil Country Cafe & Deli, Ecke Duiwerivier Rd / Church Street, Hoekwil, Wilderness 6538, Südafrika";"Restaurant";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"Hoekwil Country Cafe & Deli";"Ecke Duiwerivier Rd / Church Street, Hoekwil";"Wilderness 6538";"4.5";"380";"Landcafe / Deli / Kaffeerösterei";"€€";"";"";"";"Entspanntes Dorfcafe mit Gartensitzplätzen abseits der Hauptstrasse";"";"Nein";"";"-33.972077";"22.619622";"Ca. 7-9 km Umweg ins Hinterland (auch in eurem PDF)"
"Timberlake Organic Village, N2 zwischen Wilderness und Sedgefield, Kleinkrantz, Wilderness 6560, Südafrika";"Restaurant";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"Timberlake Organic Village";"N2 zwischen Wilderness und Sedgefield, Kleinkrantz";"Wilderness 6560";"4.4";"1411";"Handwerkerdorf mit Cafe und Bäckerei";"€€";"";"";"";"'Extensive play areas' plus Acrobranch Baumkletterpark auf dem Gelände";"";"Nein";"https://www.timberlakeorganic.co.za/";"-34.000971";"22.685289";"Direkt an der N2, kein Umweg; täglich 9-17 (auch in eurem PDF)"
"Naughty Monkey Cafe (Timberlake), N2, Timberlake Organic Village, Kleinkrantz, Wilderness 6560, Südafrika";"Restaurant";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"Naughty Monkey Cafe (Timberlake)";"N2, Timberlake Organic Village, Kleinkrantz";"Wilderness 6560";"4.6";"507";"Waffeln / Wraps / Burger / Pizza";"€€";"";"";"";"Milchshakes, vegetarisch und glutenfrei, direkt neben den Spielflächen";"";"Nein";"http://www.naughtymonkeycafe.co.za/";"-34.000330";"22.684884";"Täglich 8:15-16:30"
"Salinas Beach Restaurant, 458 Zundorf Lane, Wilderness 6560, Südafrika";"Restaurant";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"Salinas Beach Restaurant";"458 Zundorf Lane";"Wilderness 6560";"4.4";"5408";"Mediterran / Seafood / Sushi";"€€–€€€";"";"";"";"Direkt an der Flussmündung - Kinder spielen am Wasser";"";"KEINE Reservierung möglich";"https://salinas.co.za/";"-33.995422";"22.583060";"Öffnet erst 11:00; täglich bis 21:00 (auch in eurem PDF)"
"PiliPili Beach Restaurant, 2 Claude Urban Drive, Myoli Beach, Sedgefield 6573, Südafrika";"Restaurant";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"PiliPili Beach Restaurant";"2 Claude Urban Drive, Myoli Beach";"Sedgefield 6573";"4.2";"2423";"Küstenküche / Seafood";"€€–€€€";"";"";"";"Direkt am Myoli Beach - Kinder an den Strand vor oder nach dem Essen";"";"Vorab anrufen";"https://pilipili.co.za/";"-34.033445";"22.802077";"Grenzfall bei genau 4.2; keine Öffnungszeiten hinterlegt"
"The Farm, Old Cape Road, Simola Hill, Knysna 6571, Südafrika";"Restaurant";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"The Farm";"Old Cape Road, Simola Hill";"Knysna 6571";"4.6";"363";"Coffee Shop / Frühstück / Lunch";"€–€€";"";"";"";"Spielbereich, Hühner und Hasen - 'a dream for children'";"";"Nein";"https://m.facebook.com/thefarmknysna/";"-34.014375";"23.032632";"ACHTUNG: schliesst 14:00, Mo zu (auch in eurem PDF)"
"ile de pain, 10 The Boatshed, Long Street, Thesen Island, Knysna 6571, Südafrika";"Restaurant";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"ile de pain";"10 The Boatshed, Long Street, Thesen Island";"Knysna 6571";"4.6";"2507";"Handwerksbäckerei / Frühstück";"€€–€€€";"";"";"";"Autofreie Insel mit Wasserpromenade, Gebäck als schneller Snack";"";"Empfohlen";"http://www.iledepain.co.za/";"-34.047713";"23.047419";"Di-Sa 8-15, So+Mo zu (auch in eurem PDF)"
"34 Degrees South, Shop 19, Knysna Waterfront, Knysna 6571, Südafrika";"Restaurant";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"34 Degrees South";"Shop 19, Knysna Waterfront";"Knysna 6571";"4.4";"4817";"Seafood / Sushi / Deli";"€€–€€€";"";"";"";"Deli-Konzept zum Selbstaussuchen, Boote und Enten zum Schauen";"";"Empfohlen";"http://www.34south.biz/";"-34.041451";"23.045443";"Täglich 8:30-22:00 (auch in eurem PDF)"
"Knysna Elephant Park, N2 zwischen Knysna und Plettenberg Bay, Knysna 6600, Südafrika";"Restaurant";"5 | Fahrtag N2 -> Plettenberg Bay (16. Okt)";"Knysna Elephant Park";"N2 zwischen Knysna und Plettenberg Bay";"Knysna 6600";"4.6";"5062";"Elefanten-Schutzeinrichtung";"€€€";"";"";"";"Elefanten aus nächster Nähe, geführte Touren";"";"Vorab buchen";"http://knysnaelephantpark.co.za/";"-34.037776";"23.267378";"Nur ca. 20 Min. vor eurer Lodge; täglich 9-16"
"Nice Neighbour Cafe, Old Nick Village, N2, Plettenberg Bay 6600, Südafrika";"Restaurant";"6 | Plettenberg Bay (16.-20. Okt)";"Nice Neighbour Cafe";"Old Nick Village, N2";"Plettenberg Bay 6600";"4.7";"1414";"Bäckerei / Cafe / Tageskarte";"€€";"";"";"";"Kreativer Spielplatz mit Schaukeln, Kletterwand und Garten-Tipi";"";"Nein";"https://www.theniceneighbour.com/";"";"";"Kunsthandwerk-Dorf mit Mittwochs-Markt 9-14; täglich ab 7:30"
"Roadside Cafe, 4 Piesang Valley Road, Plettenberg Bay 6600, Südafrika";"Restaurant";"6 | Plettenberg Bay (16.-20. Okt)";"Roadside Cafe";"4 Piesang Valley Road";"Plettenberg Bay 6600";"4.7";"603";"Cafe / Farmstyle / Frühstück";"€";"";"";"";"Spielplatz plus Farmtiere und Blumengarten";"";"Nein";"https://www.facebook.com/roadsidecafeplett/";"";"";"Günstigste Alltagsoption der Liste"
"Enrico Ristorante, 296 Main Street, Keurboomstrand 6600, Südafrika";"Restaurant";"6 | Plettenberg Bay (16.-20. Okt)";"Enrico Ristorante";"296 Main Street";"Keurboomstrand 6600";"4.6";"4953";"Italienisch / Seafood / Pizza";"€€";"";"";"";"Direkt am Strand - Kinder laufen zwischen den Gängen barfuss in den Sand";"";"Ja, unbedingt";"http://www.enrico.co.za/";"";"";"Institution der Bucht; Mo geschlossen (auch in eurem PDF)"
"Peppermill Cafe, The Mill Centre, Animal Alley (Abzweig R102/N2), The Crags 6602, Südafrika";"Restaurant";"6 | Plettenberg Bay (16.-20. Okt)";"Peppermill Cafe";"The Mill Centre, Animal Alley (Abzweig R102/N2)";"The Crags 6602";"4.6";"444";"Cafe / Pizza / Burger / Ribs";"€";"";"";"";"Spielplatz auf dem Gelände, Innen- und Aussenbereich";"";"Per WhatsApp empfohlen";"https://www.peppermillcafecrags.com/";"";"";"Kombinierbar mit Monkeyland, Birds of Eden, Jukani; Mo zu"
"Moby's, Central Beach, Hopwood Street, Plettenberg Bay 6600, Südafrika";"Restaurant";"6 | Plettenberg Bay (16.-20. Okt)";"Moby's";"Central Beach, Hopwood Street";"Plettenberg Bay 6600";"4.2";"1487";"Seafood / Grill / Pizza / Burger";"€€";"";"";"";"Grosse Deckterrasse über Central Beach, Kinder spielen im Sand in Sichtweite";"";"In der Saison ja";"https://mobydicks.co.za/";"";"";"Klassischer Sundowner-Spot; hundefreundlich"
"Le Fournil de Plett, Lookout Centre, 18 Main Street, Plettenberg Bay 6600, Südafrika";"Restaurant";"6 | Plettenberg Bay (16.-20. Okt)";"Le Fournil de Plett";"Lookout Centre, 18 Main Street";"Plettenberg Bay 6600";"4.3";"1063";"Französische Bäckerei / Cafe";"€";"";"";"";"Hochstühle, ruhiger Gartenhof, Croissants und Kuchen";"";"Nein";"https://lefournildeplett.co.za/";"";"";"Beste Bäckerei am Ort; täglich ab 7:30, So bis 13:00"
"Barrington's Restaurant & Craft Brewery, Erf 2104, Piesang Valley Road (unteres Ende), Plettenberg Bay 6600, Südafrika";"Restaurant";"6 | Plettenberg Bay (16.-20. Okt)";"Barrington's Restaurant & Craft Brewery";"Erf 2104, Piesang Valley Road (unteres Ende)";"Plettenberg Bay 6600";"4.6";"911";"Smokehouse / Brasserie / Craft Beer";"€€€";"";"";"";"Grosser Garten mit Rasenflächen zum Herumlaufen";"";"Ja (Dineplan)";"https://www.barringtonsplett.co.za/";"";"";"Hauseigene Brauerei, Gemüse aus dem Biogarten (auch in eurem PDF)"
"Bramon Wine Estate, N2, ca. 500 m abbiegen, Plot 9 of Farm 302, The Crags 6602, Südafrika";"Restaurant";"6 | Plettenberg Bay (16.-20. Okt)";"Bramon Wine Estate";"N2, ca. 500 m abbiegen, Plot 9 of Farm 302";"The Crags 6602";"4.7";"139";"Tapas / Sharing Plates / MCC";"€€";"";"";"";"Tische zwischen den Rebzeilen mit Rasen ringsum";"";"In der Saison ja";"https://www.bramonwines.co.za/";"-33.955639";"23.479167";"Südlichstes Weingut Südafrikas; nur 11-16"
"Emily's at Emily Moon, Rietvlei Road, Emily Moon River Lodge, Plettenberg Bay 6600, Südafrika";"Restaurant";"6 | Plettenberg Bay (16.-20. Okt)";"Emily's at Emily Moon";"Rietvlei Road, Emily Moon River Lodge";"Plettenberg Bay 6600";"4.3";"1162";"Fusion";"€€€";"";"";"";"Lunch am Pool mit Blick über das Bitou-Delta, viel Platz";"";"Für Dinner ja";"https://emilymoon.co.za/dining-at-emilys/";"";"";"Eure eigene Lodge; Pizza in Simon's Bar, freitags Live-Musik"
"East Head Cafe, 25 George Rex Drive, The Heads, Knysna 6571, Südafrika";"Restaurant";"6 | Plettenberg Bay (16.-20. Okt)";"East Head Cafe";"25 George Rex Drive, The Heads";"Knysna 6571";"4.6";"3354";"Cafe / Seafood / Frühstück";"€€";"";"";"";"Hochstühle, Aussenterrasse, Kinder vom Meerblick beschäftigt";"";"KEINE Reservierung";"https://eastheadcafe.co.za/";"";"";"Spektakuläre Lage an den Knysna Heads (auch in eurem PDF)"
"Freshline Fisheries, Railway Siding Dockyard, Ecke Long Street / Waterfront Drive, Knysna 6570, Südafrika";"Restaurant";"6 | Plettenberg Bay (16.-20. Okt)";"Freshline Fisheries";"Railway Siding Dockyard, Ecke Long Street / Waterfront Drive";"Knysna 6570";"4.5";"994";"Seafood / Fischmarkt / Fish & Chips";"€";"";"";"";"Sandboden statt Fussboden, Spielbereich, Hochstühle";"";"Empfohlen";"http://freshlinefisheries.co.za/";"";"";"Preis-Leistungs-Sieger; BYOB ohne Korkgeld"
"Tangelo Restaurant @ Addo Wildlife, R335, ca. 2 km ausserhalb Addo Richtung Nationalpark, Addo 6105, Südafrika";"Restaurant";"7 | Sundays River Valley / Addo (20.-23. Okt)";"Tangelo Restaurant @ Addo Wildlife";"R335, ca. 2 km ausserhalb Addo Richtung Nationalpark";"Addo 6105";"4.5";"754";"Südafrikanisch / Grill / Burger";"€€";"";"";"";"Kinderspielbereich plus Wildlife-Centre mit Vögeln, Reptilien, begehbarer Voliere";"";"Empfohlen";"https://www.addowildlife.com/tangelo-restaurant/";"-33.524000";"25.691900";"Ca. 5-8 Min. von Woodall; Tierzentrum R20 p.P. (auch in eurem PDF)"
"Africanos Country Estate, Ecke R336 / Zuurberg Road, Addo 6105, Südafrika";"Restaurant";"7 | Sundays River Valley / Addo (20.-23. Okt)";"Africanos Country Estate";"Ecke R336 / Zuurberg Road";"Addo 6105";"4.6";"797";"Europäisch / Steak / Sushi / Teppanyaki";"€€–€€€";"";"";"";"Weitläufiges Landgut mit Rasen und Pool, Kinder können draussen laufen";"";"Ja, dringend";"https://africanos.co.za/restuarant-in-addo/";"-33.517684";"25.667924";"Bestes Abendessen mit Kindern ausserhalb der Lodge (auch in eurem PDF)"
"Sneezewoods @ Chrislin African Lodge, Off Valentine Road, Hermiston Farm, Addo 6105, Südafrika";"Restaurant";"7 | Sundays River Valley / Addo (20.-23. Okt)";"Sneezewoods @ Chrislin African Lodge";"Off Valentine Road, Hermiston Farm";"Addo 6105";"4.6";"226";"Braai / Potjie / Bobotie";"€€";"";"";"";"'Children friendly meals' auf der Karte, Bio-Farm mit viel Auslauf";"";"Zwingend vorbestellen";"https://www.chrislin.co.za/dining/";"";"";"Dinner nur ab 6 Personen; Tagesgäste vorher anfragen"
"Zuurberg Mountain Village, R335, Zuurberg Mountain Pass, Zuurberg / Addo 6105, Südafrika";"Restaurant";"7 | Sundays River Valley / Addo (20.-23. Okt)";"Zuurberg Mountain Village";"R335, Zuurberg Mountain Pass";"Zuurberg / Addo 6105";"4.4";"505";"Country-Küche / Sunday Lunch";"€€–€€€";"";"";"";"Grosser Garten, Pool, Wander- und Reitwege direkt am Haus";"";"Ja, anmelden";"https://zuurbergmountainvillage.co.za/";"-33.351311";"25.744656";"Letzte ca. 16 km Schotterpiste bergauf - bei Regen prüfen"
"Kronenhoff Restaurant & Coffee Shop, 1 Sonop Street, Kirkwood 6120, Südafrika";"Restaurant";"7 | Sundays River Valley / Addo (20.-23. Okt)";"Kronenhoff Restaurant & Coffee Shop";"1 Sonop Street";"Kirkwood 6120";"4.3";"290";"Country-Küche / Kaffee & Kuchen";"€€";"";"";"";"Grosser Garten mit Pool und schattigen Rasenflächen";"";"Empfohlen";"";"";"";"Denkmalgeschützte Cape-Dutch-Architektur; ca. 30 Min. von Woodall"
"River Front Restaurant, Holland Street, River Front Estate, Addo 6105, Südafrika";"Restaurant";"7 | Sundays River Valley / Addo (20.-23. Okt)";"River Front Restaurant";"Holland Street, River Front Estate";"Addo 6105";"4.6";"197";"Wild / Farm-to-Table / vegetarisch";"€€€";"";"";"";"Grosser Garten mit Spielbereich, eigener Gemüsegarten";"";"Ja, Buchung nötig";"https://riverfrontestate.co.za/";"";"";"ACHTUNG: Betriebsstatus 2026 unbestätigt - vorab anrufen (auch in eurem PDF)"
"Cattle Baron Addo Main Camp, Addo Elephant National Park, Main Camp (R335), Addo 6105, Südafrika";"Restaurant";"7 | Sundays River Valley / Addo (20.-23. Okt)";"Cattle Baron Addo Main Camp";"Addo Elephant National Park, Main Camp (R335)";"Addo 6105";"4.1";"1182";"Steakhouse / Grill / Seafood";"€€";"";"";"";"Hochstühle, Burger/Pommes, daneben das beleuchtete Wasserloch-Deck";"";"Für Dinner ja";"https://www.sanparks.org/parks/addo-elephant/camps/addo";"";"";"Knapp unter 4.2, aber die einzige warme Mittagsoption IM Park"
"Nanaga Farmstall, Kreuzung N2 / R72 / N10, Nanaga / Paterson 6185, Südafrika";"Restaurant";"8 | Lalibela & Gqeberha (23.-26. Okt)";"Nanaga Farmstall";"Kreuzung N2 / R72 / N10";"Nanaga / Paterson 6185";"4.5";"8711";"Landküche / Roosterkoek / Pies";"€";"";"";"";"Spielbereich, grosse Rasenflächen, Fingerfood ohne Wartezeit";"";"Nein";"https://www.nanaga.co.za/";"";"";"Der Stopp auf dem Weg Addo -> Lalibela; täglich 8-17 (auch in eurem PDF)"
"Grass Roof Farm Stall & Bakery, Ecke New Seaview Road & Heron Road, Sardinia Bay, Gqeberha 6070, Südafrika";"Restaurant";"8 | Lalibela & Gqeberha (23.-26. Okt)";"Grass Roof Farm Stall & Bakery";"Ecke New Seaview Road & Heron Road, Sardinia Bay";"Gqeberha 6070";"4.3";"4505";"Farm-to-table / Bäckerei / Frühstück";"€€";"";"";"";"Mehrere Spielplätze, Traktorfahrten, Bike-Park, Wasserrutsche, Hoftiere";"";"Wochenende empfohlen";"https://www.grassroof.co.za/";"";"";"Ca. 15 Min. vom Flughafen - idealer letzter Stopp vor dem Flug"
"Something Good Roadhouse, Marine Drive, Pollok Beach, Summerstrand, Gqeberha 6001, Südafrika";"Restaurant";"8 | Lalibela & Gqeberha (23.-26. Okt)";"Something Good Roadhouse";"Marine Drive, Pollok Beach";"Summerstrand, Gqeberha 6001";"4.2";"8749";"Burger / Diner / Pizza / Shakes";"€€";"";"";"";"Eigener Spielbereich, direkt am Strand, Eisdiele";"";"Empfohlen (Dineplan)";"https://www.somethinggoodroadhouse.co.za/";"";"";"50er-Jahre-Roadhouse mit Deck-Meerblick"
"Charlie's Pizza & Pasta, Summerstrand Village Shopping Centre, 8th Avenue, Summerstrand, Gqeberha 6001, Südafrika";"Restaurant";"8 | Lalibela & Gqeberha (23.-26. Okt)";"Charlie's Pizza & Pasta";"Summerstrand Village Shopping Centre, 8th Avenue";"Summerstrand, Gqeberha 6001";"4.4";"1381";"Italienisch / Holzofenpizza / Pasta";"€€";"";"";"";"Pizza und Pasta funktionieren immer, Milchshakes und Desserts";"";"Abends empfohlen";"";"";"";"Handgerollte Pasta; keine eigene Website verifiziert"
"This Is Eat, 16 Lower Valley Road, Baakens Valley, Gqeberha 6001, Südafrika";"Restaurant";"8 | Lalibela & Gqeberha (23.-26. Okt)";"This Is Eat";"16 Lower Valley Road, Baakens Valley";"Gqeberha 6001";"4.5";"3712";"Seafood / Fish & Chips / Currys";"€";"";"";"";"Counter-Service, laut und locker, Familien-Kombiportionen";"";"Nein";"https://thisiseat.co.za/";"";"";"Sehr günstig; nur Mittag: Mo-Fr 9:30-16:15, Sa/So bis 15:15"
"Sacramento Restaurant, 32 Marine Drive, Schoenmakerskop, Gqeberha 6011, Südafrika";"Restaurant";"8 | Lalibela & Gqeberha (23.-26. Okt)";"Sacramento Restaurant";"32 Marine Drive";"Schoenmakerskop, Gqeberha 6011";"4.3";"1118";"Seafood / Grill / Frühstück";"€€";"";"";"";"Kleines Küstendorf-Lokal, sehr schnelle Bedienung";"";"Ja, empfohlen";"";"";"";"MONTAGS GESCHLOSSEN - der 26.10. ist ein Montag"
"Bridge Street Brewery, 1 Bridge Street, South End, Gqeberha 6001, Südafrika";"Restaurant";"8 | Lalibela & Gqeberha (23.-26. Okt)";"Bridge Street Brewery";"1 Bridge Street, South End";"Gqeberha 6001";"4.4";"1844";"Gastro-Pub / Pizza / Burger / Craft Beer";"€€";"";"";"";"Grosser überdachter Aussenbereich am Baakens-Fluss";"";"Wochenende empfohlen";"https://bridgestreet.co.za/";"";"";"Eher Pub als Kinderlokal, tagsüber gut machbar"
